county_name,Positive,DEATHS,HOSPITALIZATION,case_rate
Appling County,411,15,52,2214.32
Atkinson County,226,2,28,2713.09
Bacon County,339,5,28,2972.64
Baker County,45,3,12,1444.16
Baldwin County,730,35,84,1643.11
Banks County,182,3,28,910.82
Barrow County,745,30,137,862.44
Bartow County,1131,46,173,1021.03
Ben Hill County,265,1,21,1592.07
Berrien County,200,0,9,1037.56
Bibb County,2152,44,373,1414.39
Bleckley County,103,1,8,802.31
Brantley County,169,3,8,880.12
Brooks County,261,12,26,1659.57
Bryan County,342,5,39,873.85
Bulloch County,779,7,65,980.28
Burke County,243,7,43,1087.64
Butts County,363,35,32,1441.96
Calhoun County,175,6,35,2770.3
Camden County,355,3,14,658.33
Candler County,125,0,7,1153.46
Carroll County,1325,42,121,1103.07
Catoosa County,388,8,28,564.19
Charlton County,182,2,13,1373.48
Chatham County,3264,40,327,1117.13
Chattahoochee County,494,1,9,4595.78
Chattooga County,93,2,5,375.51
Cherokee County,2086,48,227,782.4
Clarke County,1205,15,78,928.5
Clay County,65,2,5,2276.71
Clayton County,3331,85,348,1092.71
Clinch County,128,4,11,1923.08
Cobb County,8223,263,1073,1040.11
Coffee County,1034,18,142,2402.3
Colquitt County,1339,20,99,2949.79
Columbia County,1186,14,91,747.65
Cook County,284,4,30,1628.72
Coweta County,988,16,71,650
Crawford County,67,0,7,547.92
Crisp County,335,13,48,1502.98
Dade County,87,1,5,538.3
Dawson County,199,3,30,736.46
DeKalb County,9597,188,1221,1209.98
Decatur County,365,8,36,1386.67
Dodge County,165,2,15,809.42
Dooly County,222,14,45,1656.72
Dougherty County,2290,158,490,2547.13
Douglas County,1692,41,247,1113.85
Early County,327,31,29,3222.95
Echols County,206,0,6,5190.22
Effingham County,393,1,33,613.81
Elbert County,228,0,12,1203.48
Emanuel County,256,3,19,1129.54
Evans County,86,0,7,804.72
Fannin County,173,2,15,657.29
Fayette County,629,20,56,535.12
Floyd County,853,15,61,853.72
Forsyth County,1355,16,145,536.62
Franklin County,289,2,19,1238.8
Fulton County,12872,339,1421,1171.05
Gilmer County,347,2,27,1104.5
Glascock County,17,0,1,561.98
Glynn County,1801,12,113,2093.04
Gordon County,670,19,50,1154.2
Grady County,281,4,45,1145.07
Greene County,159,10,21,849.5
Gwinnett County,13234,197,1537,1362.72
Habersham County,850,41,120,1855.9
Hall County,4358,66,559,2111.96
Hancock County,240,33,39,2929.33
Haralson County,132,6,18,429.66
Harris County,495,13,53,1426.02
Hart County,143,0,12,547.75
Heard County,97,3,9,784.16
Henry County,2098,34,128,874.66
Houston County,1190,33,182,757.77
Irwin County,109,1,15,1155.52
Jackson County,609,12,67,815.26
Jasper County,99,1,9,697.23
Jeff Davis County,207,3,14,1366.52
Jefferson County,276,4,36,1802.39
Jenkins County,187,14,35,2180.5
Johnson County,150,2,23,1552.63
Jones County,176,1,10,615.58
Lamar County,164,7,19,847.68
Lanier County,176,3,11,1700.32
Laurens County,463,1,37,978.94
Lee County,446,22,75,1488.11
Liberty County,346,2,33,558.93
Lincoln County,86,2,12,1058.46
Long County,81,1,3,406.73
Lowndes County,2180,19,110,1849.37
Lumpkin County,203,4,38,600.56
Macon County,150,10,36,1154.91
Madison County,217,4,21,719.09
Marion County,109,3,13,1314.36
McDuffie County,195,8,37,902.9
McIntosh County,101,1,8,693.35
Meriwether County,280,4,33,1332.06
Miller County,69,0,3,1197.09
Mitchell County,522,41,111,2366.7
Monroe County,293,20,35,1056.73
Montgomery County,72,0,9,780.57
Morgan County,102,0,8,532.97
Murray County,371,2,24,921.49
Muscogee County,3321,64,356,1733.06
Newton County,1144,19,144,1018.21
Non-Georgia Resident County,11531,63,301,0
Oconee County,283,14,36,678.06
Oglethorpe County,137,7,20,898.95
Paulding County,1003,16,108,581.31
Peach County,193,10,37,705.02
Pickens County,162,5,19,483.15
Pierce County,309,5,35,1580.97
Pike County,140,3,13,742.31
Polk County,410,2,20,942.92
Pulaski County,70,2,8,642.61
Putnam County,265,13,28,1210.88
Quitman County,24,1,5,1046.21
Rabun County,116,3,20,682.92
Randolph County,223,25,38,3301.75
Richmond County,2156,63,289,1066.06
Rockdale County,840,11,134,884.58
Schley County,31,1,7,587.68
Screven County,133,8,22,956.83
Seminole County,66,2,9,810.81
Spalding County,639,33,86,924.61
Stephens County,395,6,42,1500.3
Stewart County,231,4,48,3768.97
Sumter County,664,52,156,2258.58
Talbot County,105,3,16,1705.1
Taliaferro County,2,0,0,122.55
Tattnall County,255,0,17,1003.5
Taylor County,51,2,12,640.86
Telfair County,201,3,16,1284.84
Terrell County,260,29,61,3070.75
Thomas County,681,33,95,1532.71
Tift County,1101,29,140,2696.55
Toombs County,388,5,32,1437.94
Towns County,81,1,12,673.09
Treutlen County,56,2,11,820.03
Troup County,1857,43,202,2637.26
Turner County,213,18,36,2637.44
Twiggs County,52,1,12,643.09
Union County,135,4,29,532.86
Unknown County,1628,6,50,0
Upson County,407,45,50,1548.88
Walker County,408,14,19,586.12
Walton County,631,32,76,658.57
Ware County,835,17,92,2328.95
Warren County,45,0,17,863.72
Washington County,221,1,15,1088.56
Wayne County,292,0,28,974.18
Webster County,35,2,7,1372.55
Wheeler County,75,0,2,948.29
White County,210,5,36,661.25
Whitfield County,2179,23,98,2081.74
Wilcox County,146,15,22,1660.98
Wilkes County,139,3,20,1388.06
Wilkinson County,132,9,32,1479.99
Worth County,372,22,59,1846.89
